pot.no,genotype,stake,treatment,nodes.6.10,br.6.10,analyze6.17,wetmass6.17,nodes6.17,branches6.17,flrs6.17,BCA.lf.wt.mass.6.17,HL.lf.wt.mass.6.17,Bates.lf.wt.mass.6.17,AGwt.mass.6.17,BCA.absorbance.6.18,AGdry.mass.6.21,spc,analyze7.1,nodes7.1,branches7.1,flrs7.1,drplvs7.1,BCA.beta.lf.wt.mass.7.1,Bates.lf.wt.mass.7.1,beta.stem.wt.mass.7.1,AGwt.mass.7.1,env.6.17,AGdry.mass.7.8,env.7.8
105,T-16,white,0 mM NaCl,3,0,0,1,NA,NA,NA,NA,NA,NA,7.0291,NA,1.6653,T.16.105,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3779,NA,NA
106,T-16,white,0 mM NaCl,3,0,1,0,6,0,0,144.1,161.6,153.1,6.4062,0.222,1.6211,T.16.106,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3704,NA,NA
109,T-16,white,0 mM NaCl,2,0,1,0,6,1,0,163.2,167.1,163.4,4.9492,0.218,1.5482,T.16.109,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3686,NA,NA
114,T-16,white,0 mM NaCl,3,0,1,0,6,0,0,156.6,150.2,150.5,4.9274,0.129,1.55,T.16.114,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3797,NA,NA
115,T-16,white,0 mM NaCl,3,0,0,1,NA,NA,NA,NA,NA,NA,5.9002,NA,1.631,T.16.115,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3796,NA,NA
118,T-16,white,0 mM NaCl,3,0,1,0,5,0,0,170.7,159.5,140.8,4.1658,NA,1.5018,T.16.118,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3826,NA,NA
37,T-16,red,200 mM NaCl,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.37,0,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
41,T-16,red,200 mM NaCl,3,0,1,0,5,1,0,152.8,162.1,162,3.5091,0.34,1.4972,T.16.41,0,NA,NA,NA,NA,NA,NA,NA,NA,1.371,NA,NA
44,T-16,red,200 mM NaCl,3,0,0,1,NA,NA,NA,NA,NA,NA,4.4546,NA,1.5822,T.16.44,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3575,NA,NA
47,T-16,red,200 mM NaCl,3,0,1,0,5,0,0,152,161,169.7,2.8187,0.36,1.4612,T.16.47,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3803,NA,NA
50,T-16,red,200 mM NaCl,2,0,1,0,5,1,0,166.1,172.8,144.4,3.1088,0.455,1.475,T.16.50,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3972,NA,NA
51,T-16,red,200 mM NaCl,3,0,1,0,5,0,0,158.4,169,150.7,3.7544,0.395,1.4978,T.16.51,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3599,NA,NA
